ANNOSCOLASTICO;CODICESCUOLA;INDIRIZZOSCUOLA;DenominazioneIstitutoRiferimento;DenominazioneScuola;CAPSCUOLA;PERCORSO;INDIRIZZOSCOLASTICA;ALUNNIMASCHI;ALUNNIFEMMINE
202021;MITD02201P;VIA ULISSE DINI 7;SALVADOR ALLENDE;CUSTODI;20141;ECONOMICO;AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO;9;10
202021;MIRC30050D;VIA C.BARONI 35;KANDINSKY;KANDINSKY;20142;SERVIZI;SERVIZI SOCIO-SANITARI;16;36
202021;MITN094521;C.SO DI PORTA ROMANA 110;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;20122;ECONOMICO;TURISMO;4;5
202021;MITF077015;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;TECNOLOGICO;MECC. MECCATRON. ENER. - BIENNIO COMUNE;37;0
202021;MITD02201P;VIA ULISSE DINI 7;SALVADOR ALLENDE;CUSTODI;20141;ECONOMICO;SISTEMI INFORMATIVI AZIENDALI;17;9
202021;MITD04301Q;VIA DON G.CALABRIA16;IS F.BESTA;F.BESTA;20132;ECONOMICO;AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO;12;11
202021;MITF07901R;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";ITIS C. DA SIENA;20131;TECNOLOGICO;SISTEMA MODA - BIENNIO COMUNE;2;37
202021;MIRC300004;VIA C. BARONI35;KANDINSKY;KANDINSKY;20142;NUOVI PROFESSIONALI;SERVIZI COMMERCIALI;25;21
202021;MIRC30050D;VIA C.BARONI 35;KANDINSKY;KANDINSKY;20142;INDUSTRIA E ARTIGIANATO;PRODUZIONI TESSILI SARTORIALI - OPZIONE;2;8
202021;MIRC094019;CORSO DI PORTA ROMANA 110;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;20122;NUOVI PROFESSIONALI;SERVIZI COMMERCIALI;16;9
202021;MITD02301E;VIA NATTA11;IST.ISTR.SUP.G.CARDANO;I.T. COMM. E GEOM. DI VIA NATTA;20151;TECNOLOGICO;COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO;22;1
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;IeFP;OPERATORE DELLA RISTORAZIONE;11;4
202021;MITN02000X;VIA BISTOLFI15;PIER PAOLO PASOLINI;PIER PAOLO PASOLINI;20134;LINGUISTICO;LINGUISTICO;10;14
202021;MIPC01000C;VIA ORAZIO 3;MANZONI;MANZONI;20123;CLASSICO;CLASSICO;92;193
